,artist_name,artist_id,followers,popularity,genres
52,RAYE,5KKpBU5eC2tJDzf0wmlRp2,311003,78,"['dance pop', 'house', 'pop', 'post-teen pop', 'tropical house', 'uk contemporary r&b', 'uk pop']"
53,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,4789623,86,"['dance pop', 'pop', 'pop rap']"
54,Ozuna,1i8SpTcr7yvPOmcqrbnVXY,24542247,96,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
55,J. Rey Soul,1OB278sOZVSFx5vXqYha83,3527,77,[]
56,Lil Tjay,6jGMq4yGs7aQzuGsMgVgZR,1861509,88,"['brooklyn drill', 'melodic rap', 'nyc rap']"
57,Nea,7nqlScm2smydSRl13eaP8E,26749,77,"['scandipop', 'tropical house']"
58,Felix Jaehn,4bL2B6hmLlMWnUEZnorEtG,1035931,82,"['dance pop', 'edm', 'electro house', 'german dance', 'pop', 'tropical house']"
59,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,1796982,86,"['bedroom pop', 'indie pop', 'pop']"
60,Quavo,0VRj0yCOv2FXJNP47XQnx5,4384845,87,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']"
61,DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,5144865,87,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
62,Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,2215449,82,['basshall']
63,Maluma,1r4hJ1h58CWwUQe3MxPuau,21038362,95,"['reggaeton', 'reggaeton colombiano']"
64,Kygo,23fqKkggKUBHNkbKtXEls4,6766215,89,"['edm', 'pop', 'tropical house']"
65,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,10741087,86,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock']"
66,Peach Tree Rascals,0imE3buPhAowREqCrr4CYe,119201,73,"['alternative r&b', 'indie r&b', 'pop']"
67,Rod Wave,45TgXXqMDdF8BkjA83OM7z,1208420,83,['florida rap']
68,Lil Baby,5f7VJjfbwm532GiveGC0ZK,5141475,95,"['atl hip hop', 'atl trap', 'rap']"
69,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,13914087,91,"['dance pop', 'pop']"
70,Surf Mesa,1lmU3giNF3CSbkVSQmLpHQ,92656,79,['tropical house']
71,Emilee,4ArPQ1Opcksbbf3CPwEjWE,57931,79,['social media pop']
72,Zoe Wees,03d2mJXSMtuPI0nIvLnhoS,39658,72,['german pop']
73,Surfaces,4ETSs924pXMzjIeD6E9b4u,571003,79,"['bedroom soul', 'pop']"
74,BENEE,0Cp8WN4V8Tu4QJQwCN5Md4,460037,79,"['indie r&b', 'nz pop', 'pop']"
75,Gus Dapperton,6sHCvZe1PHrOAuYlwTLNH4,329889,77,"['bedroom pop', 'indie pop', 'indie poptimism', 'indie r&b']"
76,Powfu,6bmlMHgSheBauioMgKv2tn,590074,83,['sad rap']
77,beabadoobee,35l9BRT7MXmM8bv2WDQiyB,498210,81,"['bedroom pop', 'indie pop']"
78,Internet Money,6MPCFvOQv5cIGfw3jODMF0,117757,87,"['pop rap', 'rap', 'trap']"
79,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,2528835,92,"['atl hip hop', 'melodic rap', 'rap', 'trap']"
80,Don Toliver,4Gso3d4CscCijv0lmajZWs,928044,89,"['rap', 'trap']"
81,NAV,7rkW85dBwwrJtlHRDkJDAC,2192187,88,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'toronto rap', 'trap']"
82,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,2248490,84,['memphis hip hop']
83,Polo G,6AgTAQt8XS6jRWi4sX7w49,2170666,89,"['chicago rap', 'rap']"
84,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,9839182,92,"['melodic rap', 'philly rap', 'rap', 'trap']"
85,Future,1RyvyyTE3xzB2ZywiAwp0i,9299532,91,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
86,42 Dugg,45gHcnDnMC15sgx3VL7ROG,132851,77,"['detroit trap', 'rap', 'southern hip hop', 'trap']"
87,Money Man,3Rx4PJ7SP6unkOk5elPUK7,254276,77,"['rap', 'southern hip hop', 'trap']"
88,Saweetie,6cK3NBO6uP7hh0oyuVELFl,734301,81,"['cali rap', 'pop', 'pop rap', 'trap queen']"
89,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,5081423,88,"['melodic rap', 'pop rap', 'rap']"
90,Don Q,5TM9R6dNoJSMq23yZQD6Ee,93330,67,['nyc rap']
91,YoungBoy Never Broke Again,7wlFDEWiM5OoIAt8RSli8b,5572939,88,"['baton rouge rap', 'trap']"
92,City Girls,37hAfseJWi0G3Scife12Il,927878,79,"['pop', 'scam rap', 'trap queen']"
93,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,3686350,88,"['la indie', 'pop']"
94,A$AP Ferg,5dHt1vcEm9qb8fCyLcB3HL,2650876,80,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']"
95,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,18858586,92,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']"
96,MadeinTYO,5SyGEPymt1G2uto47tVWvZ,939296,73,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop', 'vapor trap']"
97,The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J,541142,86,"['australian hip hop', 'rap']"
98,Headie One,6UCQYrcJ6wab6gnQ89OJFh,188982,79,['uk hip hop']
99,Tyla Yaweh,1MXZ0hsGic96dWRDKwAwdr,212142,77,"['cali rap', 'melodic rap', 'pop rap', 'rap', 'trap']"
100,CHIKA,6UtYvUtXnmg5EtllDFlWp8,100114,58,[]
101,Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,2813742,86,"['melodic rap', 'rap', 'rap conscient', 'vapor trap']"
102,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,12897501,96,['rap']
103,J.I the Prince of N.Y,2eqoJbzUGDwys5ENUkbT3h,285452,74,"['nyc rap', 'pop r&b']"
104,Migos,6oMuImdp5ZcFhWP0ESe6mG,10835722,84,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
105,Moneybagg Yo,3tJoFztHeIJkJWMrx0td2f,1603094,80,"['hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
106,Young Dolph,3HiuzBlSW7pGDXlSFMhO2g,1397015,75,"['gangster rap', 'hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
107,Key Glock,0RESbWvOMyua0yuyVrztJ5,671066,71,"['rap', 'southern hip hop', 'tennessee hip hop', 'trap', 'vapor trap']"
108,Mulatto,3MdXrJWsbVzdn6fe5JYkSQ,326724,75,"['pop r&b', 'trap queen']"
109,J. Cole,6l3HvQ5sa6mXTsMTB19rO5,11799447,88,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
110,Freddie Gibbs,0Y4inQK6OespitzD6ijMwb,556606,72,"['alternative hip hop', 'escape room', 'hip hop', 'indiana hip hop', 'rap', 'southern hip hop', 'underground hip hop']"
111,The Alchemist,0eVyjRhzZKke2KFYTcDkeu,188932,68,"['alternative hip hop', 'hardcore hip hop', 'hip hop', 'southern hip hop', 'underground hip hop', 'west coast rap']"
112,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,5132670,85,"['hip hop', 'rap']"
113,Biffy Clyro,1km0R7wy712AzLkA1WjKET,589393,69,"['modern alternative rock', 'modern rock', 'rock', 'scottish rock']"
114,Bring Me The Horizon,1Ffb6ejR6Fe5IamqA5oRUF,3181916,80,"['melodic metalcore', 'metalcore', 'uk metalcore']"
115,MOD SUN,3u2R8st1bb6zfBqNWceRXG,110227,61,"['indie pop rap', 'minnesota hip hop', 'pop rap']"
116,Goody Grace,1iH2Yx2Ea0kZ0zKI3Nlk30,86739,64,['pop rap']
117,grandson,4ZgQDCtRqZlhLswVS6MHN4,613953,76,"['modern alternative rock', 'modern rock', 'rock']"
118,All Time Low,46gyXjRIvN1NL1eCB8GBxo,2385897,75,"['modern rock', 'pop punk', 'post-teen pop']"
119,Ayron Jones,1iEaqWaYpKo9x0OrEq7Q7z,5308,47,['seattle indie']
